Team,Conf,Div,SP+,HFACW,TAN 25,TAN 26,Coach,SOW,TARP,TEAM_MEAD,TEAM_NAME2,TEAM_ID,Team Total,HC,OC,DC,TAN_Rank
Ohio State,B1G,,31.8,3.3,96.5,97.5,,0.3,10.5,OHST,Ohio State,336,27,Ryan Day,Arthur Smith,Matt Patricia,1
Indiana,B1G,,24.5,2.8,99.5,95,,-1.2,7,IND,Indiana,262,31.7,Curt Cignetti,Mike Shanahan,Bryant Haines,2
Oregon,B1G,,28.3,2.7,93,93.5,,-0.5,11,ORE,Oregon,259,29.7,Dan Lanning,Drew Mehringer,Chris Hampton,3
Notre Dame,IND,,25.8,3.7,94,90,,0.7,5,NOTD,Notre Dame,322,31.5,Marcus Freeman,Mike Denbrock,Chris Ash,4
Georgia,SEC,,25.5,2.3,91.5,89,,-1.7,7.5,GEO,Georgia,381,26.5,Kirby Smart,Mike Bobo,Glenn Schumann,5
Texas,SEC,,23.7,2.6,88.5,88.5,,-1,10.5,TEX,Texas,361,25.6,Steve Sarkisian,Kyle Flood,Will Muschamp,6
Texas A&M,SEC,,20.3,2,91,87.5,,-0.5,8,TXAM,Texas A&M,353,28.7,Mike Elko,Holmon Wiggins,Lyle Hemphill,7
Penn State,B1G,,15.7,3.2,84,87,0.5,1.6,11,PNST,Penn State,364,24,Matt Campbell,Taylor Mouser,D'Anton Lynn,8
LSU,SEC,,20.2,2.6,83.5,86.5,2.5,0.2,10.5,LSU,LSU,366,21.1,Lane Kiffin,Charlie Weis Jr,Blake Baker,9
Oklahoma,SEC,,17.2,2.6,88.5,85.5,,-1,8,OKLA,Oklahoma,362,24.4,Brent Venables,Ben Arbuckle,Nate Dreiling,10
Miami,ACC,,21,2.4,92.5,84.5,,-1.3,3,MIAF,Miami,348,26.6,Mario Cristobal,Shannon Dawson,Corey Hetherman,11
Florida,SEC,,14.9,2.3,78.5,82.5,2.5,0.8,10.5,FLA,Florida,319,22.2,Jon Sumrall,Buster Faulkner,Brad White,12
Texas Tech,B12,,23.1,3.3,87.8,82,-7,0.3,11,TXT,Texas Tech,373,33.6,Joey McGuire,Mack Leftwich,Shiel Wood,13
Auburn,SEC,,11.2,2.5,83.5,81.5,1.5,1.9,7,AUB,Auburn,352,25.5,Alex Golesh,Joel Gordon,DJ Durkin,14
Ole Miss,SEC,,15.9,2.6,89.5,81.5,-2,-0.5,4,MIS,Ole Miss,313,36.1,Pete Golding,John David Baker,Patrick Toney,14
USC,B1G,,16.8,1.9,85,81,,-0.3,6,USC,USC,340,31.1,Lincoln Riley,Luke Huard,DAnton Lynn,16
Michigan,B1G,,16.1,2.5,84,80.5,3,-0.4,4,MICH,Michigan,294,25.5,Kyle Whittingham,Jason Beck,Jay Hill,17
